timestamp,market_name,token_id,best_bid,best_ask
2025-07-20 01:59:12,"Bitcoin Up or Down - July 19, 9PM ET",75859091657008052042475317485616839731652191600496221038079345160182987681086,0.37,0.52
2025-07-20 02:03:45,"Bitcoin Up or Down - July 19, 10PM ET",42186675387633636347970087771405075934044252418155471989947817151365739786781,0.47,0.49
2025-07-20 02:08:35,"Bitcoin Up or Down - July 19, 10PM ET",42186675387633636347970087771405075934044252418155471989947817151365739786781,0.33,0.37
2025-07-20 02:11:39,"Bitcoin Up or Down - July 19, 10PM ET",42186675387633636347970087771405075934044252418155471989947817151365739786781,0.25,0.28
2025-07-20 03:19:02,"Bitcoin Up or Down - July 19, 11PM ET",115579529715073172631722298418158937516433816457251401784512673735138824558772,0.54,0.55
2025-07-20 03:20:02,"Bitcoin Up or Down - July 19, 11PM ET",115579529715073172631722298418158937516433816457251401784512673735138824558772,0.51,0.54
2025-07-20 03:21:03,"Bitcoin Up or Down - July 19, 11PM ET",115579529715073172631722298418158937516433816457251401784512673735138824558772,0.54,0.56
2025-07-20 03:22:03,"Bitcoin Up or Down - July 19, 11PM ET",115579529715073172631722298418158937516433816457251401784512673735138824558772,0.56,0.59
2025-07-20 03:23:03,"Bitcoin Up or Down - July 19, 11PM ET",115579529715073172631722298418158937516433816457251401784512673735138824558772,0.56,0.59
2025-07-20 03:24:12,"Bitcoin Up or Down - July 19, 11PM ET",115579529715073172631722298418158937516433816457251401784512673735138824558772,0.5,0.51
2025-07-20 03:25:13,"Bitcoin Up or Down - July 19, 11PM ET",115579529715073172631722298418158937516433816457251401784512673735138824558772,0.5,0.51
2025-07-20 03:26:13,"Bitcoin Up or Down - July 19, 11PM ET",115579529715073172631722298418158937516433816457251401784512673735138824558772,0.19,0.21
2025-07-20 03:27:13,"Bitcoin Up or Down - July 19, 11PM ET",115579529715073172631722298418158937516433816457251401784512673735138824558772,0.3,0.35
2025-07-20 03:28:13,"Bitcoin Up or Down - July 19, 11PM ET",115579529715073172631722298418158937516433816457251401784512673735138824558772,0.35,0.38
2025-07-20 03:57:01,"Bitcoin Up or Down - July 19, 11PM ET",115579529715073172631722298418158937516433816457251401784512673735138824558772,0.16,0.2
2025-07-20 03:58:01,"Bitcoin Up or Down - July 19, 11PM ET",115579529715073172631722298418158937516433816457251401784512673735138824558772,0.28,0.34
2025-07-20 03:59:01,"Bitcoin Up or Down - July 19, 11PM ET",115579529715073172631722298418158937516433816457251401784512673735138824558772,0.46,0.56
2025-07-21 11:18:27,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.53,0.55
2025-07-21 11:19:26,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.58,0.61
2025-07-21 11:20:37,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.64,0.65
2025-07-21 11:21:28,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.61,0.63
2025-07-21 11:22:26,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.56,0.59
2025-07-21 11:23:29,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.49,0.53
2025-07-21 11:24:28,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.72,0.74
2025-07-21 11:25:30,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.71,0.74
2025-07-21 11:26:30,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.56,0.6
2025-07-21 11:27:25,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.47,0.51
2025-07-21 11:28:30,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.6,0.61
2025-07-21 11:29:25,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.57,0.62
2025-07-21 11:30:41,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.57,0.6
2025-07-21 11:31:25,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.59,0.63
2025-07-21 11:32:30,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.54,0.59
2025-07-21 11:33:28,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.54,0.56
2025-07-21 11:34:33,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.54,0.55
2025-07-21 11:35:29,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.35,0.37
2025-07-21 11:36:30,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.28,0.3
2025-07-21 11:37:26,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.29,0.32
2025-07-21 11:38:29,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.21,0.25
2025-07-21 11:39:26,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.22,0.26
2025-07-21 11:40:38,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.22,0.24
2025-07-21 11:41:28,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.18,0.2
2025-07-21 11:42:35,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.1,0.13
2025-07-21 11:43:28,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.09,0.12
2025-07-21 11:44:29,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.1,0.13
2025-07-21 11:45:33,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.15,0.19
2025-07-21 11:46:29,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.14,0.17
2025-07-21 11:47:27,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.08,0.12
2025-07-21 11:48:31,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.04,0.06
2025-07-21 11:49:26,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.03,0.06
2025-07-21 11:51:01,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.04,0.05
2025-07-21 11:51:26,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.02,0.05
2025-07-21 11:52:31,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.02,0.05
2025-07-21 11:53:30,"Bitcoin Up or Down - July 21, 7AM ET",95487710365281703858225112370886197431092291016767548239109581555023055333049,0.02,0.04
2025-07-21 12:00:49,"Bitcoin Up or Down - July 21, 8AM ET",98317875849422766265711621654380022446835645553189092884561098144125594839375,0.53,0.55
2025-07-21 12:01:31,"Bitcoin Up or Down - July 21, 8AM ET",98317875849422766265711621654380022446835645553189092884561098144125594839375,0.43,0.46
2025-07-21 12:02:30,"Bitcoin Up or Down - July 21, 8AM ET",98317875849422766265711621654380022446835645553189092884561098144125594839375,0.35,0.41
2025-07-21 12:03:28,"Bitcoin Up or Down - July 21, 8AM ET",98317875849422766265711621654380022446835645553189092884561098144125594839375,0.26,0.3
